Protocol,VUs,Min,Max,Median,Avg,P(90),P(95),Calls/s,Requests/s,Requests Failed
atis,20,0,10828.172,164.019,194.565,267.033,308.581,36.294,72.588,0.00091
cpex,20,0,6647.281,43.774,65.988,94.439,98.23,42.583,383.244,0.00013
atis,40,13.304,882.75,162.088,151.427,285.578,316.41,86.292,172.584,0
cpex,40,16.118,421.364,47.133,60.251,97.338,103.932,92.182,829.642,0
atis,60,13.352,2658.395,181.56,211.292,429.388,559.341,102.378,204.757,0
cpex,60,15.977,476.325,50.764,62.415,99.982,108.642,135.922,1223.301,0
atis,100,13.336,2192.314,238.68,308.96,687.301,842.932,127.154,254.307,6e-05
cpex,100,15.977,671.527,67.05,77.974,128.807,177.203,185.778,1672.004,0
atis,150,13.306,2295.1,414.137,467.004,1031.54,1202.208,134.71,269.421,0
cpex,150,16.088,1711.301,88.448,107.57,191.844,388.237,198.225,1784.024,0
atis,200,9.74,3198.547,612.817,662.225,1458.27,1637.907,132.177,264.354,0.00012
cpex,200,15.935,4302.447,90.642,136.027,266.637,573.634,204.189,1837.7,0
atis,250,13.641,4329.129,894.554,838.647,1818.588,2011.374,132.554,265.107,0.00025
cpex,250,15.809,10482.894,90.228,172.823,274.239,1016.685,189.209,1702.879,0
atis,300,13.471,4799.615,1117.634,1031.232,2195.082,2425.992,131.822,263.644,0.00037
cpex,300,15.983,12637.437,92.783,198.297,333.174,1115.415,201.116,1810.044,0
atis,350,7.754,5595.939,1382.631,1168.324,2500.428,2879.545,136.135,272.269,0.00024
cpex,350,7.886,17303.629,102.93,218.77,519.31,1015.879,224.793,2023.137,2e-05
atis,400,3.872,6290.398,1553.114,1371.496,2915.678,3393.837,133.952,267.905,0.0003
cpex,400,8.154,24438.673,102.783,245.408,566.423,1208.733,224.032,2016.289,2e-05
atis,450,13.529,5799.886,1852.454,1523.143,3120.663,3497.533,136.635,273.27,0.00018
cpex,450,12.331,32662.61,104.298,267.967,543.745,1324.745,227.07,2043.63,2e-05
atis,500,13.349,6966.75,2230.578,1731.229,3529.286,3833.099,133.422,266.844,0.00012
cpex,500,2.008,49229.163,99.301,309.091,676.975,1494.696,210.217,1891.956,5e-05
atis,550,13.564,7022.864,2294.597,1922.726,4097.716,4563.301,133.457,266.913,0.00012
cpex,550,12.391,52012.509,106.11,319.119,659.463,1409.972,227.482,2047.338,2e-05
atis,600,13.441,7399.78,2378.331,1976.837,4035.433,4732.663,141.105,282.21,0.00034
cpex,600,9.251,26455.672,114.036,361.031,979.712,1529.192,221.841,1996.566,0.00019
atis,650,13.339,8846.327,2401.221,2199.425,4672.053,5093.382,138.351,276.703,6e-05
cpex,650,12.41,54218.24,107.91,401.804,916.776,1630.063,209.559,1886.027,4e-05
atis,700,13.525,8848.653,2963.364,2429.349,4933.208,5620.629,135.091,270.183,0.00012
cpex,700,1.123,37972.122,113.552,414.101,909.791,1505.379,218.279,1964.508,0.00026
atis,750,0.169,7819.631,2507.829,2603.804,5409.991,5765.299,136.159,272.318,0.00024
cpex,750,3.539,53139.011,108.815,451.351,1050.241,1595.723,210.582,1895.234,0.00012
atis,800,9.839,12235.464,3260.161,2862.379,6034.195,6977.719,129.885,259.771,0.00018
cpex,800,5.785,54706.168,102.032,491.589,1048.969,1747.556,202.158,1819.422,6e-05
atis,850,0.481,9110.427,3294.752,2838.265,5922.856,6719.479,140.263,280.526,0.00022
cpex,850,4.654,53445.716,110.57,496.348,1165.308,1702.119,215.111,1935.996,8e-05
atis,900,9.692,10520.294,3648.398,3136.006,6185.335,7364.399,134.861,269.721,0.00029
cpex,900,12.589,55210.882,125.031,520.051,971.402,1862.976,223.251,2009.26,5e-05
atis,950,9.157,11288.382,3983.72,3252.914,6537.986,7410.128,134.899,269.797,0.00023
cpex,950,3.632,56615.32,102.524,596.265,984.619,2282.205,190.843,1717.584,5e-05
atis,1000,8.443,10936.693,3990.77,3472.482,6817.891,7628.576,135.235,270.47,6e-05
cpex,1000,8.811,55721.772,110.381,600.338,1245.921,2035.299,208.061,1872.545,2e-05
