Protocol,VUs,Min,Max,Median,Avg,P(90),P(95),Success-Rate
jodi,100,16.878,2189.282,84.534,95.663,161.641,285.036,100.0
oob-s/s,100,13.333,1883.441,115.039,129.814,219.784,268.94,100.0
jodi,200,16.847,3561.125,88.524,167.025,282.707,967.334,100.0
oob-s/s,200,13.541,3611.466,154.573,226.105,467.199,614.227,100.0
jodi,400,16.741,41116.037,92.905,316.143,558.979,1810.668,100.0
oob-s/s,400,13.671,5641.943,208.189,448.607,1018.346,1465.219,100.0
jodi,600,16.952,55920.001,94.326,454.296,626.26,2284.742,100.0
oob-s/s,600,13.683,9316.668,268.46,666.196,1606.48,2236.535,100.0
jodi,800,16.889,57426.611,99.608,593.182,938.761,2535.455,100.0
oob-s/s,800,13.392,24349.837,211.615,902.064,2074.628,3162.42,99.973
jodi,1000,7.477,59970.341,103.046,736.531,1167.982,3289.059,100.0
oob-s/s,1000,13.688,29914.793,202.899,1088.049,2190.306,3845.293,99.993
jodi,1200,16.792,59973.108,101.889,896.49,1329.036,3361.828,100.0
oob-s/s,1200,13.228,45823.288,196.374,1380.942,2378.432,4827.449,99.993
jodi,1400,4.924,59974.276,106.358,1044.175,1770.342,4001.776,100.0
oob-s/s,1400,12.987,47904.245,167.635,1685.29,3454.731,6639.784,99.993
jodi,1600,16.879,59073.424,114.493,1184.52,2111.968,4347.776,100.0
oob-s/s,1600,13.597,38993.617,380.406,1764.094,4365.172,9696.079,100.0
jodi,1800,3.175,59974.104,102.898,1318.37,1910.216,4269.265,100.0
oob-s/s,1800,13.386,57237.216,152.027,2794.318,3906.797,18744.322,96.446
jodi,2000,1.198,59974.165,102.693,1526.951,2314.103,6491.967,100.0
oob-s/s,2000,13.576,41159.252,205.224,2394.617,6068.131,17490.036,99.904
jodi,2200,0.245,59974.157,116.453,1648.372,3213.35,8204.633,100.0
oob-s/s,2200,13.21,41801.325,205.827,2758.33,8985.449,18040.232,99.811
jodi,2400,0.294,59973.871,126.015,1813.65,3439.345,9955.371,99.73
oob-s/s,2400,12.984,43725.226,578.105,3119.938,8786.409,18413.036,99.895
jodi,2600,2.441,59974.153,102.732,1968.742,3256.522,10490.083,96.838
oob-s/s,2600,14.152,38847.681,389.695,3265.917,13191.783,20780.64,99.622
jodi,2800,0.19,59974.144,104.807,2146.187,4196.147,12804.28,96.398
oob-s/s,2800,13.292,45543.558,568.461,3584.081,13266.88,20458.086,99.683
jodi,3000,1.305,59974.177,108.646,2333.308,4671.996,14907.769,95.723
oob-s/s,3000,13.356,48207.412,387.622,3711.426,13883.324,21818.795,99.425
jodi,3200,0.298,59974.119,99.435,2479.505,5087.347,16832.784,94.779
oob-s/s,3200,0,55578.956,343.376,3908.93,13059.662,20193.406,98.858
jodi,3400,2.413,59974.228,115.693,2641.492,6194.409,16492.925,94.991
oob-s/s,3400,0,59987.438,340.347,4329.051,10772.58,22469.64,96.513
jodi,3600,1.395,59974.214,113.674,2789.651,6337.53,19557.467,93.106
oob-s/s,3600,0,55760.279,272.306,4505.88,15804.131,23272.86,97.26
jodi,3800,1.601,59974.029,107.677,2980.941,6771.464,22956.171,94.635
oob-s/s,3800,13.682,43390.785,412.244,4542.227,16803.354,31112.945,97.621
jodi,4000,16.669,59974.069,172.362,3103.797,7633.574,22118.417,93.311
oob-s/s,4000,24.789,43285.695,528.018,5273.778,21129.94,28520.831,97.513
